gene	rep1	rep2	rep3	mean	variance	rank	percentile
KNV87_017210	7	25	15	16	81.33333333	5599	31
KNV87_000001	0	1	0	0	0.333333333	2605	15
KNV87_000002	5	22	4	10	102.3333333	5133	29
KNV87_017211	4	6	7	6	2.333333333	4503	25
KNV87_017212	3	12	7	7	20.33333333	4756	27
KNV87_017213	0	0	0	0	0	1	0
KNV87_000003	207	688	212	369	76327	11584	65
KNV87_000004	317	209	260	262	2919	10646	59
KNV87_000005	4787	9609	4517	6304	8208841.333	17308	97
KNV87_000006	26	27	35	29	24.33333333	6366	36
KNV87_000007	0	2	1	1	1	3062	17
KNV87_000008	7	6	8	7	1	4713	26
KNV87_000009	1392	2559	1651	1867	375572.3333	15759	88
KNV87_000010	132	145	106	128	394.3333333	8884	50
KNV87_000011	256	215	228	233	439	10314	58
KNV87_000012	17155	35727	20988	24623	96141532.33	17781	99
KNV87_000013	221	869	331	474	120241.3333	12269	68
KNV87_000014	1399	3122	1573	2031	899734.3333	15911	89
KNV87_000015	20	33	23	25	46.33333333	6167	34
KNV87_000016	38	11	40	30	262.3333333	6378	36
KNV87_000017	6717	2665	5928	5103	4614732.333	17141	96
KNV87_000018	3573	5500	4209	4427	964084.3333	17023	95
KNV87_000019	1769	2681	1796	2082	269283	15950	89
KNV87_000020	33	62	45	47	212.3333333	7051	39
KNV87_000021	276	494	288	353	15017.33333	11474	64
KNV87_000022	159	251	168	193	2572.333333	9801	55
KNV87_000023	61	78	65	68	79	7659	43
KNV87_000024	6	8	2	5	9.333333333	4444	25
KNV87_000025	0	5	4	3	7	3905	22
KNV87_000026	48	55	32	45	139	6989	39
KNV87_000027	61	162	86	103	2767	8425	47
KNV87_000028	117	461	134	237	37592.33333	10363	58
KNV87_000029	8	55	12	25	679	6154	34
KNV87_000030	42	100	57	66	906.3333333	7611	42
KNV87_017214	10	17	14	14	12.33333333	5444	30
KNV87_017215	11	21	8	13	46.33333333	5417	30
KNV87_000031	437	550	471	486	3361	12342	69
KNV87_000032	937	1407	959	1101	70348	14538	81
KNV87_000033	297	419	272	329	6186.333333	11302	63
KNV87_000034	340	489	323	384	8341	11698	65
KNV87_000035	2	9	4	5	13	4378	24
KNV87_000036	573	419	480	491	6014.333333	12363	69
KNV87_000037	430	297	459	395	7462.333333	11767	66
KNV87_000038	4470	5601	4152	4741	579981	17084	95
KNV87_000039	1	5	4	3	4.333333333	3996	22
KNV87_000040	3101	6672	3328	4367	3997651	17010	95
KNV87_000041	1515	2865	1831	2070	498585.3333	15940	89
KNV87_000042	3	8	8	6	8.333333333	4620	26
KNV87_000043	54	36	30	40	156	6800	38
KNV87_000044	0	0	2	1	1.333333333	2868	16
KNV87_000045	0	0	0	0	0	1	0
KNV87_000046	0	0	0	0	0	1	0
KNV87_000047	0	0	0	0	0	1	0
KNV87_000048	0	0	0	0	0	1	0
KNV87_000049	0	0	0	0	0	1	0
KNV87_000050	0	0	0	0	0	1	0
KNV87_000051	0	0	0	0	0	1	0
KNV87_000052	0	0	0	0	0	1	0
KNV87_000053	0	0	0	0	0	1	0
KNV87_000054	0	0	0	0	0	1	0
KNV87_000055	0	0	0	0	0	1	0
KNV87_000056	0	0	0	0	0	1	0
KNV87_000057	0	0	0	0	0	1	0
KNV87_000058	0	0	0	0	0	1	0
KNV87_000059	0	0	0	0	0	1	0
KNV87_000060	0	0	0	0	0	1	0
KNV87_000061	0	0	0	0	0	1	0
KNV87_000062	0	0	0	0	0	1	0
KNV87_000063	0	0	0	0	0	1	0
KNV87_000064	0	0	0	0	0	1	0
KNV87_000065	0	0	0	0	0	1	0
KNV87_000066	0	0	0	0	0	1	0
KNV87_000067	0	0	0	0	0	1	0
KNV87_000068	0	0	0	0	0	1	0
KNV87_000069	0	0	0	0	0	1	0
KNV87_000070	0	0	0	0	0	1	0
KNV87_000071	0	0	0	0	0	1	0
KNV87_000072	0	0	0	0	0	1	0
KNV87_000073	0	0	0	0	0	1	0
KNV87_000074	0	0	0	0	0	1	0
KNV87_000075	0	0	0	0	0	1	0
KNV87_000076	0	0	0	0	0	1	0
KNV87_000077	0	0	0	0	0	1	0
KNV87_000078	0	0	0	0	0	1	0
KNV87_000079	0	0	0	0	0	1	0
KNV87_000080	0	0	0	0	0	1	0
KNV87_000081	0	0	0	0	0	1	0
KNV87_000082	0	0	0	0	0	1	0
KNV87_000083	0	0	0	0	0	1	0
KNV87_000084	0	0	0	0	0	1	0
KNV87_000085	0	0	0	0	0	1	0
KNV87_000086	0	0	0	0	0	1	0
KNV87_000087	0	0	0	0	0	1	0
KNV87_000088	0	0	0	0	0	1	0
KNV87_000089	0	0	0	0	0	1	0
KNV87_000090	0	0	0	0	0	1	0
KNV87_000091	0	0	0	0	0	1	0
KNV87_000092	0	0	0	0	0	1	0
KNV87_000093	0	0	0	0	0	1	0
KNV87_000094	0	0	0	0	0	1	0
KNV87_000095	0	0	0	0	0	1	0
KNV87_000096	0	0	0	0	0	1	0
KNV87_000097	0	0	0	0	0	1	0
KNV87_000098	0	0	0	0	0	1	0
KNV87_000099	0	0	0	0	0	1	0
KNV87_000100	0	0	0	0	0	1	0
KNV87_000101	0	0	0	0	0	1	0
KNV87_000102	0	0	0	0	0	1	0
KNV87_000103	0	0	0	0	0	1	0
KNV87_000104	0	0	0	0	0	1	0
KNV87_000105	0	0	0	0	0	1	0
KNV87_000106	0	0	0	0	0	1	0
KNV87_000107	0	0	0	0	0	1	0
KNV87_000108	0	0	0	0	0	1	0
KNV87_000109	0	0	0	0	0	1	0
KNV87_000110	0	0	0	0	0	1	0
KNV87_000111	0	0	0	0	0	1	0
KNV87_000112	0	0	0	0	0	1	0
KNV87_000113	0	0	0	0	0	1	0
KNV87_000114	0	0	0	0	0	1	0
KNV87_000115	0	0	0	0	0	1	0
KNV87_000116	0	0	0	0	0	1	0
KNV87_000117	0	0	0	0	0	1	0
KNV87_000118	0	0	0	0	0	1	0
KNV87_000119	0	0	0	0	0	1	0
KNV87_000120	0	0	0	0	0	1	0
KNV87_000121	0	0	0	0	0	1	0
KNV87_000122	0	0	0	0	0	1	0
KNV87_000123	0	0	0	0	0	1	0
KNV87_000124	0	0	0	0	0	1	0
KNV87_000125	0	0	0	0	0	1	0
KNV87_000126	0	0	0	0	0	1	0
KNV87_000127	0	0	0	0	0	1	0
KNV87_000128	0	0	0	0	0	1	0
KNV87_000129	0	0	0	0	0	1	0
KNV87_000130	0	0	0	0	0	1	0
KNV87_000131	0	0	0	0	0	1	0
KNV87_000132	0	0	0	0	0	1	0
KNV87_000133	0	0	0	0	0	1	0
KNV87_000134	0	0	0	0	0	1	0
KNV87_000135	0	0	0	0	0	1	0
KNV87_000136	0	0	0	0	0	1	0
KNV87_000137	0	0	0	0	0	1	0
KNV87_000138	0	0	0	0	0	1	0
KNV87_000139	0	0	0	0	0	1	0
KNV87_000140	0	0	0	0	0	1	0
KNV87_000141	0	0	0	0	0	1	0
KNV87_000142	0	0	0	0	0	1	0
KNV87_000143	0	0	0	0	0	1	0
KNV87_000144	0	0	0	0	0	1	0
KNV87_000145	0	0	0	0	0	1	0
KNV87_000146	0	0	0	0	0	1	0
KNV87_000147	0	0	0	0	0	1	0
KNV87_000148	0	0	0	0	0	1	0
KNV87_000149	0	0	0	0	0	1	0
KNV87_000150	0	0	0	0	0	1	0
KNV87_000151	0	0	0	0	0	1	0
KNV87_000152	0	0	0	0	0	1	0
KNV87_000153	0	0	0	0	0	1	0
KNV87_000154	1093	1707	1342	1381	95370.33333	15124	84
KNV87_000155	9	12	7	9	6.333333333	5030	28
KNV87_000156	562	1358	599	840	201844.3333	13840	77
KNV87_000157	221	276	213	237	1176.333333	10355	58
KNV87_000158	13	8	15	12	13	5293	30
KNV87_000159	533	818	594	648	22520.33333	13158	73
KNV87_000160	96	62	48	69	609.3333333	7677	43
KNV87_000161	0	3	0	1	3	3062	17
KNV87_000162	0	10	0	3	33.33333333	3996	22
KNV87_000163	4	2	11	6	22.33333333	4503	25
KNV87_000164	9	9	9	9	0	4992	28
KNV87_000165	2360	2675	2301	2445	40430.33333	16230	91
KNV87_000166	306	357	449	371	5252.333333	11594	65
KNV87_000167	6	24	8	13	97.33333333	5358	30
KNV87_000168	1353	2881	1383	1872	763281.3333	15763	88
KNV87_000169	68	66	109	81	589	7956	44
KNV87_000170	78	89	107	91	214.3333333	8185	46
KNV87_000171	171	174	205	183	354.3333333	9695	54
KNV87_000172	0	0	2	1	1.333333333	2868	16
KNV87_000173	118	129	103	117	170.3333333	8685	48
KNV87_000174	102	178	130	137	1477.333333	9030	50
KNV87_000175	45	47	47	46	1.333333333	7036	39
KNV87_017216	4358	7559	4625	5514	3154341	17213	96
KNV87_000176	1	7	5	4	9.333333333	4237	24
KNV87_000177	12	10	3	8	22.33333333	4883	27
KNV87_000178	392	474	525	464	4502.333333	12206	68
KNV87_000179	520	868	600	663	33221.33333	13215	74
KNV87_000180	111	169	130	137	874.3333333	9030	50
KNV87_000181	48	54	56	53	17.33333333	7222	40
KNV87_000182	119	169	134	141	658.3333333	9082	51
KNV87_000183	599	1014	818	810	43100.33333	13750	77
KNV87_000184	14	18	12	15	9.333333333	5532	31
KNV87_000185	2	1	4	2	2.333333333	3692	21
